game_pk,date,status,home_team,away_team,home_team_code,away_team_code,home_team_id,away_team_id,venue,doubleheader,day_night,home_pitcher_id,away_pitcher_id,home_runs,away_runs,innings,home_hits,away_hits,home_errors,away_errors,total_runs,run_difference,result
748266,2024-02-22,FINISHED,San Diego Padres,Los Angeles Dodgers,SD,LAD,135,119,Peoria Stadium,False,day,605397.0,694813.0,1.0,14.0,[],,,,,15.0,-13.0,VISITANTE
748344,2024-02-23,FINISHED,Boston Red Sox,Northeastern Huskies,,,111,343,JetBlue Park,False,day,672487.0,809685.0,7.0,2.0,[],,,,,9.0,5.0,LOCAL
748263,2024-02-23,FINISHED,Texas Rangers,Kansas City Royals,TEX,KC,140,118,Surprise Stadium,False,day,641540.0,663738.0,5.0,4.0,[],,,,,9.0,1.0,LOCAL
748341,2024-02-23,FINISHED,Chicago Cubs,Chicago White Sox,CHC,,112,145,Sloan Park,False,day,696136.0,445926.0,8.0,1.0,[],,,,,9.0,7.0,LOCAL
748260,2024-02-23,FINISHED,Los Angeles Dodgers,San Diego Padres,LAD,SD,119,135,Camelback Ranch,False,day,689017.0,666745.0,4.0,1.0,[],,,,,5.0,3.0,LOCAL
748264,2024-02-23,FINISHED,Colorado Rockies,Arizona Diamondbacks,COL,AZ,115,109,Salt River Fields at Talking Stick,False,day,687223.0,674072.0,3.0,0.0,[],,,,,3.0,3.0,LOCAL
748265,2024-02-23,SCHEDULED,Minnesota Twins,Minnesota Golden Gophers,MIN,,142,4864,Lee Health Sports Complex,False,night,663978.0,801757.0,,,[],,,,,0.0,0.0,SCHEDULED
748262,2024-02-24,FINISHED,Baltimore Orioles,Boston Red Sox,BAL,,110,111,Ed Smith Stadium,False,day,669203.0,676477.0,4.0,3.0,[],,,,,7.0,1.0,LOCAL
748258,2024-02-24,FINISHED,Minnesota Twins,Pittsburgh Pirates,MIN,PIT,142,134,Lee Health Sports Complex,False,day,686973.0,663559.0,5.0,3.0,[],,,,,8.0,2.0,LOCAL
748256,2024-02-24,FINISHED,Tampa Bay Rays,Atlanta Braves,TB,ATL,139,144,Charlotte Sports Park,False,day,686249.0,675911.0,5.0,6.0,[],,,,,11.0,-1.0,VISITANTE
748255,2024-02-24,FINISHED,St. Louis Cardinals,Miami Marlins,STL,MIA,138,146,Roger Dean Chevrolet Stadium,False,day,669461.0,677960.0,8.0,9.0,[],,,,,17.0,-1.0,VISITANTE
748254,2024-02-24,FINISHED,Detroit Tigers,New York Yankees,DET,NYY,116,147,Publix Field at Joker Marchant Stadium,False,day,681857.0,661563.0,10.0,22.0,[],,,,,32.0,-12.0,VISITANTE
748257,2024-02-24,FINISHED,Toronto Blue Jays,Philadelphia Phillies,,PHI,141,143,TD Ballpark,False,day,689149.0,663465.0,13.0,14.0,[],,,,,27.0,-1.0,VISITANTE
748259,2024-02-24,FINISHED,New York Mets,St. Louis Cardinals,NYM,STL,121,138,Clover Park,False,day,656731.0,668868.0,5.0,10.0,[],,,,,15.0,-5.0,VISITANTE
748252,2024-02-24,FINISHED,Cleveland Guardians,Cincinnati Reds,CLE,CIN,114,113,Goodyear Ballpark,False,day,471911.0,686730.0,0.0,4.0,[],,,,,4.0,-4.0,VISITANTE
748251,2024-02-24,FINISHED,Oakland Athletics,Colorado Rockies,OAK,COL,133,115,Hohokam Stadium,False,day,671212.0,663567.0,1.0,5.0,[],,,,,6.0,-4.0,VISITANTE
748253,2024-02-24,FINISHED,San Francisco Giants,Chicago Cubs,SF,CHC,137,112,Scottsdale Stadium,False,day,657277.0,592767.0,4.0,8.0,[],,,,,12.0,-4.0,VISITANTE
748247,2024-02-24,FINISHED,Kansas City Royals,Texas Rangers,KC,TEX,118,140,Surprise Stadium,False,day,679525.0,543135.0,5.0,4.0,[],,,,,9.0,1.0,LOCAL
748248,2024-02-24,FINISHED,Chicago White Sox,Seattle Mariners,,SEA,145,136,Camelback Ranch,False,day,605121.0,596271.0,8.0,7.0,[],,,,,15.0,1.0,LOCAL
748250,2024-02-24,FINISHED,Arizona Diamondbacks,Colorado Rockies,AZ,COL,109,115,Salt River Fields at Talking Stick,False,day,669194.0,663562.0,6.0,2.0,[],,,,,8.0,4.0,LOCAL
748249,2024-02-24,FINISHED,Los Angeles Angels,Los Angeles Dodgers,LAA,LAD,108,119,Tempe Diablo Stadium,False,day,682989.0,607192.0,7.0,7.0,[],,,,,14.0,0.0,VISITANTE
748246,2024-02-24,FINISHED,San Diego Padres,Milwaukee Brewers,SD,MIL,135,158,Peoria Stadium,False,day,658648.0,642239.0,7.0,11.0,[],,,,,18.0,-4.0,VISITANTE
748261,2024-02-24,FINISHED,Washington Nationals,Houston Astros,WSH,HOU,120,117,CACTI Park of the Palm Beaches,False,night,571578.0,669854.0,4.0,7.0,[],,,,,11.0,-3.0,VISITANTE
748245,2024-02-25,FINISHED,Pittsburgh Pirates,Baltimore Orioles,PIT,BAL,134,110,LECOM Park,False,day,656605.0,608344.0,0.0,2.0,[],,,,,2.0,-2.0,VISITANTE
748240,2024-02-25,FINISHED,Houston Astros,St. Louis Cardinals,HOU,STL,117,138,CACTI Park of the Palm Beaches,False,day,686613.0,680723.0,0.0,3.0,[],,,,,3.0,-3.0,VISITANTE
748243,2024-02-25,FINISHED,Tampa Bay Rays,Detroit Tigers,TB,DET,139,116,Charlotte Sports Park,False,day,541640.0,656412.0,9.0,9.0,[],,,,,18.0,0.0,VISITANTE
748238,2024-02-25,FINISHED,Boston Red Sox,Minnesota Twins,,MIN,111,142,JetBlue Park,False,day,608337.0,641927.0,8.0,6.0,[],,,,,14.0,2.0,LOCAL
748244,2024-02-25,FINISHED,Atlanta Braves,Boston Red Sox,ATL,,144,111,CoolToday Park,False,day,693821.0,678394.0,4.0,5.0,[],,,,,9.0,-1.0,VISITANTE
748239,2024-02-25,FINISHED,New York Yankees,Toronto Blue Jays,NYY,,147,141,George M. Steinbrenner Field,False,day,607074.0,670102.0,12.0,6.0,[],,,,,18.0,6.0,LOCAL
748237,2024-02-25,FINISHED,Philadelphia Phillies,New York Yankees,PHI,NYY,143,147,BayCare Ballpark,False,day,605400.0,573186.0,4.0,0.0,[],,,,,4.0,4.0,LOCAL
748242,2024-02-25,FINISHED,New York Mets,Houston Astros,NYM,HOU,121,117,Clover Park,False,day,676130.0,656232.0,3.0,1.0,[],,,,,4.0,2.0,LOCAL
748241,2024-02-25,FINISHED,Miami Marlins,Washington Nationals,MIA,WSH,146,120,Roger Dean Chevrolet Stadium,False,day,666200.0,669022.0,3.0,6.0,[],,,,,9.0,-3.0,VISITANTE
748236,2024-02-25,FINISHED,Cincinnati Reds,Los Angeles Angels,CIN,LAA,113,108,Goodyear Ballpark,False,day,668881.0,670046.0,9.0,4.0,[],,,,,13.0,5.0,LOCAL
748232,2024-02-25,FINISHED,Los Angeles Dodgers,Oakland Athletics,LAD,OAK,119,133,Camelback Ranch,False,day,669165.0,666205.0,4.0,2.0,[],,,,,6.0,2.0,LOCAL
